cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40133,14,1,32,25,82382937
201611,40058,2,4,67,29,1313183092
201611,40059,6,1,1,1,1137255
201611,40113,1,3,2,2,1029957
201611,40131,11,1,410,392,6525929
201611,40072,17,3,15,8,26685543
201611,40156,6,3,1,1,10031231
201611,40147,9,3,9,2,30984710
201611,40036,16,1,260,246,20829514
201611,40060,6,1,3,2,501575
201611,40030,10,1,68,19,39161136
201611,40058,31,4,15,6,353198752
201611,40058,5,1,724,527,494702717
201611,40113,2,2,22,14,105941226
201611,40150,11,4,3,2,3932666
201611,40030,8,3,95,7,91424829
201611,40137,11,3,3,3,23431892
201611,40136,14,3,1,1,0
201611,40030,27,3,14,3,56170300
201611,40036,3,4,1,1,57927888
201611,40044,31,3,11,6,60117434
201611,40036,8,2,70,45,5197120
201611,40128,9,3,31,16,86141227
201611,40058,5,3,81,38,256566887
201611,40030,2,2,365,60,198876094
201611,40044,32,2,7,5,17424697
201611,40145,8,5,2,1,41036244
201611,40132,32,4,3,1,86779119
201611,40138,14,1,4,4,44218539
201611,40036,6,1,85,71,5924717
201611,40147,9,2,33,12,177235038
201611,40062,16,1,368,154,80415344
201611,40133,11,1,8,7,5248365
201611,40127,9,2,6,5,21944270
201611,40132,11,2,27,13,96816163
201611,40102,32,1,1,1,16870181
201611,40012,24,4,728,26,2331473407
201611,40145,14,3,12,5,25093081
201611,40044,7,2,1,1,40650913
201611,40058,11,1,440,314,403144837
201611,40030,30,1,186,80,313018731
201611,40137,15,2,6,6,59010407
201611,40143,9,2,41,32,195292054
201611,40133,9,4,45,28,2891636529
201611,40058,6,3,4,1,2569777
201611,40145,15,2,5,4,19680781
201611,40058,5,4,65,30,1156826171
201611,40059,9,4,81,64,4094589433
201611,40014,2,1,1628,1188,1118230746
201611,40143,30,4,1,1,9263138
201611,40014,25,1,1379,1034,1239194296
201611,40147,5,1,1,1,20295109
201611,40058,9,3,142,87,628336934
201611,40060,21,4,2,1,0
201611,5,27,4,802,39,4244838640
201611,5,2,3,855,124,1504821527
201611,40108,32,2,2,2,53372867
201611,40062,13,3,1,1,1757000
201611,40136,22,4,2,2,10060372
201611,40072,13,2,188,128,214279590
201611,40147,15,2,25,6,56001536
201611,40002,7,3,25,16,105163206
201611,40112,32,3,4,1,1356315
201611,40072,11,4,44,31,1397675924
201611,40136,24,2,1,1,20141779
201611,40062,9,1,688,317,378346428
201611,5,29,2,700,238,362165221
201611,40132,19,3,5,4,24220582
201611,40143,11,2,3,3,8092435
201611,40030,31,1,11,6,5897501
201611,40136,30,1,1,1,9923
201611,40014,7,3,36,18,89512117
201611,40014,6,4,37,12,705304397
