cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201512,040072,15,61.95,77.14,6.94,0
201612,040012,11,28.95,39.29,8.53,0
201612,040072,5999,117.06,132.32,8.9,0
201612,040012,14,33.01,49.55,6.84,0
201612,040002,22,27.9,29.81,7.87,0
201512,040072,10,90.4,108.91,6.84,0
201512,040021,19,84.93,97.2,20.13,0
201612,040072,10,106.01,127.54,8.61,0
201512,040072,1,27.82,40.53,7.7,0
201612,040021,4,20.16,37.53,7.42,0
201512,040036,14,10.13,15.04,5.94,0
201512,040014,3,21.97,30.51,7.8,0
201612,040044,5,25.1,56.42,8.6,0
201612,040044,23611,30.26,42.05,8.54,0
201512,040036,5999,192.66,218.85,6.17,0
201512,040044,14,3.5,14.84,4.93,0
201512,040021,23611,19.54,18.65,8.86,0
201512,040021,10,43.78,51.96,5.23,0
201612,040012,1,26.98,37.78,8.11,0
201512,040021,16,33.32,43.8,8.24,0
201612,040002,11,24.5,33.25,8.02,0
201612,040072,15,75.55,89.22,8.74,0
201512,040021,1,22.2,28.86,7.43,0
201512,040072,20,19.79,28.02,8.92,0
201512,040072,19,41.84,56.01,13.83,0
201612,040012,4,33.57,45.47,8.36,0
201612,040036,3,47.22,86.14,9.76,0
201612,040021,2,101.68,115.96,11.2,0
201512,040072,2,23.78,37.04,11.69,0
201512,040036,13,29.04,47.25,18.53,0
201612,040021,5999,33.18,57.25,8.41,0
201612,040044,12,37.18,64.71,8.13,0
201512,040021,6,22.37,28.71,6.59,0
201512,040002,15,34.42,43.61,6.9,0
201612,040012,7,82.62,102.32,9.3,0
201512,040021,3,26.5,32.19,7.37,0
201612,040072,20,15.83,24.62,10.91,0
201612,040021,9,14.6,25.31,6.08,0
201512,040044,21,44.42,60.86,5.84,0
201512,040072,6,34.55,51.29,9.3,0
201612,040021,23,45.78,69.13,9.23,0
201512,040012,16,52.54,67.01,8.57,0
201612,040012,22,32.4,43.2,8.66,0
201512,040012,13,36.45,54.46,8.07,0
201612,040072,19,31.25,57.36,13.86,0
201512,040014,11,26.16,35.4,6.9,0
201612,040021,7,21.68,38.48,2.82,1
201612,040012,9,13.09,20.11,2.59,1
201512,040012,23,42.36,55.15,3.45,1
201512,040012,6,61.31,93.61,6.25,1
201512,040012,3,21.06,29.68,3.61,1
201612,040044,16,34.93,50.43,1.89,1
201612,040012,12,57.47,80,4.23,1
201612,040012,15,59.22,73.39,3.22,1
201512,040021,7,33.72,62.99,3.28,1
201612,040021,1,21.94,27.4,3.72,1
201612,040021,21,16.98,20.59,4.64,1
201512,040044,11,30.45,38.35,2.98,1
201612,040036,5,168.67,201.41,5.87,1
201612,040014,21,21.4,27.08,4.13,1
201512,040072,22,74.36,79.21,3.73,1
201612,040036,11,61.55,68.23,5.07,1
201612,040072,7,102.83,123.55,4.15,1
201512,040014,12,35.16,46.33,3.76,1
201512,040021,21,23.27,26.3,3.2,1
