cve_institucion,cve_periodo,cve_concepto,dato
040044,201506,7,8756323647
040044,201507,1,607
040044,201507,2,529
040044,201507,3,5.6353
040044,201507,4,3.0606
040044,201507,6,42
040044,201507,7,6499200146
040044,201508,1,641
040044,201508,2,538
040044,201508,3,5.6384
040044,201508,4,3.1985
040044,201508,6,42
040044,201508,7,8395793181
040044,201509,1,635
040044,201509,2,570
040044,201509,3,5.6397
040044,201509,4,2.137
040044,201509,6,53
040044,201509,7,13144904555
040044,201510,1,506
040044,201510,2,456
040044,201510,3,5.6145
040044,201510,4,2.6584
040044,201510,6,59
040044,201510,7,6666592801
040044,201511,1,591
040044,201511,2,530
040044,201511,3,5.5304
040044,201511,4,1.9567
040044,201511,6,53
040044,201511,7,7872610076
040044,201512,1,691
040044,201512,2,580
040044,201512,3,5.7033
040044,201512,4,2.4927
040044,201512,6,51
040044,201512,7,10602289897
040044,201601,1,675
040044,201601,2,557
040044,201601,3,5.3025
040044,201601,4,2.5874
040044,201601,6,48
040044,201601,7,12245240594
040044,201602,1,545
040044,201602,2,493
040044,201602,3,6.5599
040044,201602,4,2.0718
040044,201602,6,55
040044,201602,7,9162247469
040044,201603,1,555
040044,201603,2,500
040044,201603,3,6.5127
040044,201603,4,2.2832
040044,201603,6,74
040044,201603,7,11693719719
040044,201604,1,541
040044,201604,2,484
040044,201604,3,6.0971
040044,201604,4,2.3568
040044,201604,6,47
040044,201604,7,11057129527
040044,201605,1,745
040044,201605,2,614
040044,201605,3,6.2256
040044,201605,4,3.2704
040044,201605,6,39
040044,201605,7,10233971260
040044,201606,1,692
040044,201606,2,602
040044,201606,3,6.4988
040044,201606,4,3.1203
040044,201606,6,39
040044,201606,7,10699179094
040044,201607,1,714
040044,201607,2,609
040044,201607,3,6.6239
040044,201607,4,3.2621
040044,201607,6,39
040044,201607,7,10420061875
040044,201608,1,678
040044,201608,2,603
040044,201608,3,6.6016
040044,201608,4,3.0699
040044,201608,6,51
040044,201608,7,13917794004
040044,201609,1,892
040044,201609,2,725
040044,201609,3,6.7237
040044,201609,4,3.3223
040044,201609,6,39
040044,201609,7,11084343313
040044,201610,1,711
040044,201610,2,616
040044,201610,3,7.1295
040044,201610,4,2.1985
040044,201610,6,43
040044,201610,7,10786796871
040044,201611,1,960
040044,201611,2,797
040044,201611,3,7.4999
040044,201611,4,3.5097
040044,201611,6,42
040044,201611,7,14582224848
040044,201612,1,813
040044,201612,2,703
040044,201612,3,7.8667
040044,201612,4,3.6653
040044,201612,6,43
040044,201612,7,12885705782
040072,201501,1,5207
040072,201501,2,4575
040072,201501,3,7.4204
040072,201501,4,3.7351
040072,201501,6,18
040072,201501,7,14383686329
040072,201502,1,4921
040072,201502,2,4235
040072,201502,3,7.3977
040072,201502,4,3.6358
040072,201502,6,16
040072,201502,7,13812874685
040072,201503,1,6040
040072,201503,2,4976
040072,201503,3,7.2983
040072,201503,4,3.6869
040072,201503,6,39
040072,201503,7,18130636272
040072,201504,1,4995
040072,201504,2,4346
040072,201504,3,6.7618
040072,201504,4,3.3681
040072,201504,6,43
040072,201504,7,19273457415
040072,201505,1,5226
040072,201505,2,4532
040072,201505,3,7.3121
040072,201505,4,3.321
040072,201505,6,26
040072,201505,7,13340946369
040072,201506,1,5622
040072,201506,2,4651
040072,201506,3,7.3309
040072,201506,4,3.45
040072,201506,6,24
040072,201506,7,16634411892
040072,201507,1,6269
040072,201507,2,5318
040072,201507,3,7.5158
040072,201507,4,3.7266
040072,201507,6,34
040072,201507,7,16657413629
040072,201508,1,5437
040072,201508,2,4612
040072,201508,3,7.4354
040072,201508,4,3.7301
040072,201508,6,41
040072,201508,7,17251175932
040072,201509,1,5424
040072,201509,2,4681
040072,201509,3,7.3307
040072,201509,4,3.69
040072,201509,6,24
040072,201509,7,15405564387
040072,201510,1,5515
040072,201510,2,4645
040072,201510,3,7.3009
040072,201510,4,2.9756
040072,201510,6,24
040072,201510,7,14309473475
040072,201511,1,4902
040072,201511,2,4200
040072,201511,3,7.1306
040072,201511,4,2.8798
040072,201511,6,23
040072,201511,7,15441898224
040072,201512,1,6279
040072,201512,2,5316
040072,201512,3,6.7428
040072,201512,4,3.8242
040072,201512,6,49
040072,201512,7,27076071923
040072,201601,1,5779
040072,201601,2,4816
