cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201510,040044,4,1,63151854744
201508,040036,2,2,332110707
201603,040044,1,3,226
201510,040021,1,2,270243461
201504,5,4,4,4959
201605,040021,1,3,48973
201608,040021,3,4,401
201511,040044,1,0,1515524678
201602,040012,5,4,12
201610,040072,1,2,787234580
201501,040002,1,0,7190913614
201501,040036,5,1,33929841943
201511,040002,1,2,97659942
201505,040002,5,0,527365238
201509,040002,3,4,1009
201504,040036,5,4,20
201612,040044,5,1,1795836142
201510,040014,2,3,20675
201610,040072,3,2,406420820
201607,040021,5,3,36
201610,040044,3,0,3709770963
201501,040021,3,2,295847192
201606,040021,5,1,2962775033
201606,040002,2,2,393086777
201602,040012,4,0,2.6997E+11
201506,040044,1,1,1305079815
201508,5,5,1,79034764895
201507,040012,2,1,23555992312
201602,040021,1,1,4383304888
201506,040014,3,3,3586
201502,040002,1,1,7248037238
201601,5,3,2,2747852252
201506,040036,1,2,170377514
201603,040002,5,3,5
201509,040014,3,4,1325
201502,040072,5,4,25
201602,040002,2,4,33405
201607,040072,3,4,1376
201605,040021,5,1,2976147804
201610,040044,4,1,79669730020
201510,040021,2,3,26023
201511,040044,2,4,409
201512,040036,2,3,3097
201607,040002,5,0,1435735179
201608,040044,1,2,67932267
201503,040012,3,0,13596203580
201507,040021,3,3,5589
201606,040002,1,1,10694345980
201601,040021,3,2,285442336
201512,040072,5,2,1704730422
201512,040044,4,1,65738612902
201502,040002,1,0,7317254916
201610,040036,5,2,736217
201601,040012,1,4,152642
201605,040036,4,3,1630
201505,040002,2,2,338968797
201607,5,3,2,2897727621
201610,040044,4,2,1398410219
201604,5,4,4,5697
201506,040021,4,0,1.00435E+11
201501,5,2,0,1.60321E+11
201608,040036,3,4,128
201506,040014,5,4,20
201507,5,5,0,81277426214
201601,040014,1,0,42828138810
201605,040044,1,1,1681037180
201603,5,1,4,257920
201604,040021,2,0,6386221548
201504,040044,3,4,225
201506,040036,2,2,373277600
201508,040072,1,0,10888363399
201603,040002,3,2,34586698
201612,040014,3,1,10862596038
201612,040036,5,2,3154363
201504,040044,2,1,3768283672
201501,040072,4,1,1.02755E+11
201509,040072,4,4,990
201602,040014,2,2,1031790722
201502,040002,2,2,368191992
201502,040072,4,2,4385392752
201512,040036,4,0,1.03027E+11
201511,040036,2,4,2225
201507,040036,3,1,841787709
201610,5,5,2,2136148933
201609,040012,4,0,2.9576E+11
201503,040044,4,0,48831591014
201502,040012,1,3,210766
201611,040014,1,1,44600371813
201608,040021,4,2,6386174463
201505,040002,1,1,7742112380
201501,5,1,1,1.278E+11
201612,040044,1,2,98576021
201602,040036,4,3,1638
201604,040044,2,4,414
201510,040044,3,4,215
201602,040072,1,4,23133
201605,040021,4,3,91955
201504,040036,2,3,3923
201501,040036,1,0,1657656181
201503,040021,4,2,9462425990
201608,040044,4,4,625
201501,040014,5,2,313890140
201602,040002,3,3,1631
201605,040014,4,2,5163488930
201512,040021,3,2,260595931
201606,040072,4,0,1.33524E+11
201605,040036,1,0,2027335029
201606,040002,5,4,3
201512,040014,2,3,20758
201609,040012,3,0,12428926204
201601,040044,4,4,589
201608,040014,1,4,42572
201511,040044,2,2,537884389
201505,5,5,3,757
201508,040036,4,4,403
201511,040072,3,0,7914050744
201512,040012,3,4,1592
201603,040036,3,0,871496289
201504,040044,3,1,3065180553
201509,5,3,1,65117688529
201501,040036,4,3,2153
201604,040002,2,1,30255034064
201607,040014,2,1,33382937351
201603,040014,4,4,1565
201511,040014,2,4,12347
201603,040072,1,0,11983184961
201512,040021,5,4,11
201508,040014,5,1,3784767108
201605,040072,1,1,11409341728
201601,5,4,3,352323
201511,040002,5,1,393836512
201502,040036,1,4,3562
201604,5,1,0,1.6574E+11
201503,040036,1,2,181571357
201606,040021,3,0,3378122601
201604,040044,1,2,37357260
201503,040014,5,0,3912221735
201501,040044,1,0,1324652300
201510,040036,2,0,2403055589
201612,040044,4,2,1378277606
201509,040012,5,1,3071978052
201508,040014,5,3,126
201508,040044,5,3,7
201610,040036,2,1,1825599528
201601,040072,4,1,1.2629E+11
201508,040044,4,2,999891195
201609,040012,1,1,63631680214
201508,040002,3,1,8824056504
201510,040036,2,2,321886397
