cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201512,040014,12,2,7,7,12472026
201512,5,32,2,220,142,227925286
201612,040014,999,4,2,1,2128337
201512,040014,13,1,39,35,43363301
201512,040014,11,3,63,18,82336171
201612,040002,2,1,18,18,23109792
201512,040014,10,4,20,5,201410055
201512,040036,30,1,1,1,3842037
201612,040021,11,3,22,9,38528047
201612,040036,15,3,2,2,11926082
201612,040021,13,1,51,51,4678850
201512,040036,24,4,2,2,19300000
201512,040002,17,2,33,33,13853518
201612,040036,14,4,6,1,296000000
201512,040014,9,5,51,4,135740441
201512,040072,2,3,5,4,6238028
201512,5,2,2,481,281,525312830
201512,040072,10,4,10,4,143187178
201612,040072,29,3,1,1,2777334
201512,040044,29,3,1,1,34125459
201612,040072,28,4,11,8,1761202320
201512,040072,12,2,15,14,12859017
201512,040002,17,3,2,2,33000000
201512,040002,18,2,15,12,13887613
201612,040014,8,4,52,28,675123057
201512,040072,11,3,11,7,27791331
201512,5,32,4,65,9,133320985
201512,040072,9,5,2,2,69246357
201512,040012,15,3,227,38,230987035
201612,040012,10,1,610,20,47948126
201512,040072,32,4,7,4,48523014
201612,5,28,4,1011,48,3997073959
201612,040012,19,2,167,55,195007023
201612,040002,999,2,1,1,323494
201612,040021,15,4,805,22,849618106
201612,040021,16,3,170,3,5008091
201612,040021,18,1,30,28,2431260
201612,5,30,2,644,366,504924882
201612,5,22,4,2028,57,2492896284
201612,040072,999,1,1,1,2374
201512,040021,21,1,149,115,10222664
201612,040002,4,4,1,1,1500000
201512,040072,5,2,90,76,116073052
201612,040044,7,4,1,1,187255
201612,040012,23,4,2576,12,318994592
201612,040012,26,1,143,42,99932052
201512,040021,32,1,27,23,950572
201612,5,14,1,2371,1528,1278887597
201612,5,12,3,8,6,49529751
201512,5,12,2,143,78,63190317
201512,040014,32,3,3,2,11000000
201512,040002,31,2,42,41,34183595
201612,040021,3,2,22,19,11842833
