cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201607,040036,Cliente 180,1.49767E+11,0.9548
201502,040012,Cliente 70,1.0741E+11,0.3802
201509,040036,Cliente 14,69921393515,0.4753
201604,040021,Cliente 140,91040842070,0.694
201512,040021,Cliente 3,9268777247,0.0734
201606,040044,Cliente 6,14121658079,0.164
201602,040036,Cliente 500,1.59639E+11,0.9926
201602,040021,Cliente 4,11802616946,0.0909
201501,040014,Cliente 200,1.10398E+11,0.5019
201508,040021,Cliente 9,20665747510,0.1707
201511,040072,Cliente 150,97160348868,0.5531
201601,040072,Cliente 300,1.22964E+11,0.6649
201508,040014,Cliente 170,1.06595E+11,0.4676
201603,040072,Cliente 19,45921911181,0.2463
201604,040036,Cliente 180,1.48317E+11,0.9507
201612,040044,Cliente 16,26663616024,0.2753
201603,040021,Cliente 7,18383286475,0.1414
201501,040044,Cliente 160,40514109290,0.6781
201602,040036,Cliente 190,1.54505E+11,0.9607
201507,040036,Cliente 18,79756607712,0.5302
201609,040072,Cliente 5,15805300843,0.0824
201511,040002,Cliente 120,98391921930,0.4784
201605,040044,Cliente 90,46976179808,0.5571
201505,040044,Cliente 300,50333306555,0.8095
201603,040036,Cliente 120,1.44541E+11,0.9198
201602,040021,Cliente 130,88099432236,0.6782
201607,040044,Cliente 30,31184057148,0.3532
201511,040021,Cliente 12,25259446373,0.2056
201508,040072,Cliente 80,76628457216,0.4486
201609,040012,Cliente 180,1.93624E+11,0.5194
201510,040072,Cliente 15,33728513546,0.1947
201606,040002,Cliente 1000,1.64525E+11,0.7739
201504,040044,Cliente 70,31902841448,0.5106
201606,040072,Cliente 100,94350639565,0.4999
201605,040012,Cliente 140,1.72089E+11,0.488
201512,040014,Cliente 150,1.17062E+11,0.465
201510,040044,Cliente 300,60960162023,0.8144
201610,040036,Cliente 50,1.35774E+11,0.8069
201611,040036,Cliente 2,20526902913,0.1107
201510,040021,Cliente 180,90979768886,0.7434
201601,040072,Cliente 130,1.0049E+11,0.5434
201508,040072,Cliente 100,82381989889,0.4823
201501,040014,Cliente 19,41409448250,0.1883
201506,040072,Cliente 120,85052561089,0.5038
201610,040014,Cliente 1000,2.09374E+11,0.7301
201508,040044,Cliente 13,16460305597,0.2423
201506,040012,Cliente 16,52896141771,0.1803
201504,040072,Cliente 9,23803445251,0.141
201509,040044,Cliente 10,18387997638,0.2441
201606,040044,Cliente 100,49817365545,0.5784
201505,040014,Cliente 2,17846355810,0.0764
201503,040021,Cliente 70,61360168738,0.5235
201606,040002,Cliente 30,46886229477,0.2205
201504,040012,Cliente 140,1.4713E+11,0.4975
201508,040021,Cliente 7,17463727746,0.1443
201504,040044,Cliente 15,16831935711,0.2694
201512,040021,Cliente 200,96210017933,0.762
201601,040002,Cliente 9,36836798364,0.17
201602,040072,Cliente 4,15343469976,0.0814
201607,040044,Cliente 7,15238771383,0.1726
201610,040014,Cliente 18,68682534729,0.2395
201511,040012,Cliente 70,1.1677E+11,0.3643
201501,040072,Cliente 90,75233862087,0.4383
201509,040044,Cliente 110,46378474484,0.6156
201510,040021,Cliente 4,11651683358,0.0952
201609,040012,Cliente 9,44467291830,0.1193
201507,040021,Cliente 140,81913410788,0.6924
201606,040036,Cliente 150,1.50585E+11,0.9426
201601,040002,Cliente 3,22889249946,0.1056
201610,040021,Cliente 30,46474347373,0.3409
201510,040012,Cliente 100,1.35242E+11,0.4223
201508,040072,Cliente 16,35259533860,0.2064
