cve_periodo,cve_institucion,cve_estado,cartera_total,imor,creditos,acreditados
201512,040014,5,4934905726,1.7561,1220,901
201512,040021,3,304202424,3.1075,468,169
201512,040021,8,1616172698,3.7808,3110,694
201512,040021,17,242718100,1.5359,2150,350
201512,040036,32,29981184,0.1973,28,22
201512,040072,29,181948509,7.0451,133,110
201612,040002,22,2379861029,0.2321,1547,1259
201612,040012,2,5700203341,2.8594,3941,1360
201612,040014,8,6741382064,0.9789,1980,1356
201612,040014,27,1896023296,3.6245,694,537
201612,040036,99,1.77262E+11,1.9589,14016,10608
201612,040044,3,123578814,0,4,4
201612,040044,24,1174764587,0,47,25
201612,040044,27,656379386,0,33,22
201512,040014,32,433101449,4.6483,318,236
201512,040021,32,113197225,1.7541,742,171
201512,040036,12,3947244,11.2455,28,22
201512,040036,31,748164467,15.6392,163,83
201612,040012,26,5737869300,2.3315,2643,1032
201612,040014,22,5148788151,1.4588,1017,556
201612,040021,22,1614308937,8.6317,1249,482
201612,040021,29,427147146,0.3472,459,126
201612,040036,2,34810046,59.9706,245,211
201612,040036,13,81991291,2.9925,236,211
201612,040044,6,657175165,0.5698,17,11
201612,040044,10,1481022361,0,41,25
201612,040012,17,1455040211,5.5101,5660,507
201612,040021,26,2488225686,3.5377,2335,879
201612,040072,32,1261860689,2.828,1629,1070
201512,040002,7,2081323389,0.7265,1322,1067
201512,040002,23,1053906047,0.1849,504,401
201512,040002,24,1100539131,0.0017,765,638
201512,040002,99,2.11931E+11,0.266,57844,45805
201512,040014,14,13325263400,1.4422,4605,2867
201512,040036,21,2320257038,1.0104,206,161
201512,040036,23,2057230232,0.1738,126,101
201512,040036,24,605614181,0.1757,107,62
201512,040072,17,318371402,12.4896,307,248
201512,040002,1,958915248,0.557,608,482
201512,040012,2,4533361075,4.2656,2274,1274
201512,040012,19,43767669064,1.3329,39361,2212
201512,040021,88,1360016659,0.03,208,22
201512,040002,15,18501401547,0.282,6737,5437
201512,040002,20,680416717,1.2341,1036,824
201512,040012,4,1621620217,1.2785,415,267
201512,040021,14,6525463888,4.0113,11360,1981
201512,040036,1,30064267,5.1765,94,72
201512,040044,7,150664540,0,6,4
201512,040072,32,1179080793,2.5282,1529,1010
201512,040002,13,1148722282,2.3596,862,724
201512,040012,99,3.22851E+11,1.5547,247405,48579
201512,040014,1,1346044910,1.9092,688,453
201612,040021,23,2458373548,1.0388,1185,454
201612,040021,32,136809280,1.2096,473,147
201612,040036,4,1311680526,0.0823,76,58
201612,040036,29,17897742,42.8142,105,96
201612,040044,11,2800449803,4.303,105,68
201612,040044,15,6729571042,2.8871,202,141
201612,040072,4,1235517509,2.4199,400,313
201612,040072,18,448742083,0.8581,676,418
201512,040012,14,19466071754,1.9061,10879,4061
201512,040021,6,171351512,2.068,1146,185
201512,040044,18,234497689,0,4,3
201512,040002,29,494414327,0.0243,145,115
201512,040002,32,213333839,0.226,270,220
201512,040012,11,7360057868,1.1143,16158,1857
201512,040014,19,30198380968,2.1611,3824,2344
201512,040014,22,4746970330,1.4987,878,490
201512,040044,32,69436309,0,12,7
201512,040021,16,2093549771,0.6938,23479,641
201512,040036,26,557540470,24.8417,278,199
201512,040044,8,2096074512,0,124,82
201512,040044,21,1791022382,6.2511,71,54
201512,040072,1,1110899171,2.4343,667,466
201512,040072,2,4610377451,27.6134,1579,870
201512,040072,13,622000535,19.6296,258,187
201512,040012,26,5789158719,1.7983,2769,1046
201512,040021,15,9847289806,11.9615,5996,1636
201512,040021,99,1.26254E+11,8.4432,141514,21950
201512,040044,2,2234333664,0.1347,79,56
201512,040044,12,227981448,35.9644,14,9
201512,040044,13,637691318,20.7013,12,10
201512,040072,12,676251109,1.1296,399,333
201512,040072,19,36559886430,0.4904,5736,3544
201612,040002,4,504906644,0.3107,349,302
201612,040002,31,2792438106,0.0921,958,793
201612,040012,10,3292360538,0.4709,1536,420
201612,040014,12,717516911,1.0344,701,531
201612,040044,17,254605336,0,20,13
201612,040072,25,7624253446,15.987,2815,1791
201612,040012,99,3.90103E+11,1.4063,265237,47443
201612,040014,25,8029966769,9.0092,1960,1098
201612,040036,5,1199012032,3.2975,286,250
201612,040044,9,27848657472,2.975,595,453
201612,040044,16,409378550,0,20,16
201612,040044,30,3638339027,3.2457,130,81
201612,040072,28,9029516106,1.478,2557,1555
201612,040072,99,2.07349E+11,2.7837,67294,44555
201512,040014,26,3325682209,1.7913,1526,982
201512,040021,5,1763224629,5.4836,3208,749
201512,040072,11,3256775226,4.4642,1764,1355
201612,040002,16,3030604726,0.53,1754,1422
201612,040021,4,892049426,2.2177,425,161
201612,040036,27,482214557,1.4322,471,426
201612,040036,32,9297349,1.927,72,70
201612,040044,4,104774120,0,12,7
