cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201512,040012,27,3,76,27,157047880
201512,040012,32,1,1870,1480,433869889
201512,040012,28,2,511,256,472953346
201512,040036,27,3,3,2,16417293
201612,040072,4,2,149,99,131986199
201512,040012,18,3,54,8,80331301
201512,040036,25,5,2,1,3998016106
201512,040021,15,5,1,1,69137995
201512,5,23,4,1478,99,27507596231
201512,040021,19,1,2574,931,245505074
201512,040021,18,2,250,42,28689218
201612,040044,18,3,1,1,0
201612,040014,12,3,12,10,18107923
201512,040072,10,1,238,189,124870202
201612,040014,14,1,4356,3166,3160702336
201512,5,6,1,3358,1713,1614976453
201512,040072,7,4,16,9,105115064
201512,040072,8,3,109,44,272562763
201612,040002,9,3,390,241,1989731488
201612,040002,14,1,843,709,875509139
201612,040002,13,2,793,683,493109365
201612,040012,16,1,7846,5782,1831702865
201612,040044,26,1,17,13,68150580
201512,040072,9,2,4470,3219,5021610429
201612,040072,1,2,426,251,400219320
201512,040012,19,2,1752,913,1605888758
201512,040014,17,2,251,139,332475500
201612,040036,18,1,80,72,4438942
201612,040072,5,1,1224,905,389343008
201612,5,21,4,4243,145,34434768318
201612,040021,26,4,542,36,1996433655
201612,5,7,4,420,61,3044375441
201512,040002,23,3,5,5,57407945
201612,040012,31,1,2334,1613,703464173
201512,040002,24,2,558,468,400672579
201512,040002,22,4,54,20,981969336
201612,040021,27,3,15,8,66739856
201612,040072,19,2,4738,2677,3437946252
201612,040014,28,2,645,409,944314443
201612,040012,30,2,957,446,708830740
201612,040012,28,4,1539,35,3537651222
201612,040021,4,4,35,9,771246868
201512,040044,30,3,19,15,163181970
201612,040036,19,2,119,81,95853394
201612,040021,13,1,354,201,45832890
201512,040044,24,3,9,5,77458478
201612,040036,20,1,191,158,12384013
201612,040036,16,2,33,26,3464117
201612,040021,11,3,110,24,167424230
201512,040012,13,3,41,11,47750670
201512,040014,12,2,160,99,213936178
201512,040036,25,3,3,3,989845
201512,040036,29,2,10,9,9676873
201512,040002,17,2,591,489,335805777
201512,040002,18,1,69,60,18635272
201512,040036,5,3,6,4,29831493
201512,040021,30,3,104,7,64794796
201612,040036,31,4,57,9,652483825
201512,040002,26,4,140,44,3610347474
201612,040021,2,3,178,8,98150533
201612,040044,9,2,166,137,1145375975
201612,040014,32,2,197,109,280196708
201512,040036,7,1,66,46,7585544
201512,040036,4,4,10,4,1463760867
201512,040014,28,4,175,29,2306198178
201612,040044,27,4,10,8,570370612
201612,040036,4,2,7,6,734312
201512,040036,25,4,21,8,1318004733
201612,040021,9,4,5607,276,58778175969
201612,040002,3,4,9,6,16919619
201512,040021,27,1,963,341,74898126
201612,040021,10,3,19,6,56230420
201512,040014,20,4,78,7,818407701
201612,040002,4,3,6,4,42836367
201512,040021,25,3,149,10,109820675
201512,040036,28,1,68,53,8871602
201612,040036,11,3,4,4,7244018
201612,040021,999,1,28,7,3161993
201612,040072,26,1,630,475,282088653
201612,040036,14,3,2,2,297070
201512,040002,10,2,348,280,221523677
201512,040072,15,4,204,89,8264861092
201512,040002,9,3,407,254,2027512642
201612,040021,1,3,25,6,75086472
201512,040072,18,1,180,158,77018587
201612,040021,3,1,317,115,18039277
201512,040021,30,4,1306,29,3066553674
201512,040072,17,2,165,127,155170929
201512,040021,8,3,53,11,104621710
201512,5,17,1,4845,2993,1438108636
201512,040072,24,4,60,14,1126657460
201512,5,14,4,13397,422,56913814985
201612,5,6,2,1481,627,1411447861
201612,5,3,5,17,4,895300902
201512,5,19,2,19989,6401,20400634021
201612,5,4,4,223,32,8179913412
201512,040014,999,1,19,14,9661762
201512,040021,9,2,5668,1576,1449495570
201512,040021,1,4,2333,10,440610609
201612,040002,25,2,1620,1323,1617380325
201512,040002,2,3,43,29,250675349
201512,040044,10,2,7,5,74202823
201512,040021,999,3,7,4,4518134
201612,040021,27,2,292,155,90150245
201612,040021,25,4,4590,32,3894196388
201512,040044,9,3,67,46,773723752
201512,040002,4,1,61,52,31855657
201512,040021,31,3,12,7,42523738
201512,040002,8,4,192,31,2664027808
201612,040036,13,4,6,4,63089128
201512,040036,26,1,121,102,25194907
201612,040036,20,2,44,31,3619472
201512,040021,20,3,9,3,1567411
201512,040072,5,3,73,39,446629050
201612,040021,10,2,199,101,71060737
201612,040072,31,4,107,32,1286738238
201612,040021,16,2,343,122,88095921
201612,040072,8,1,883,636,451609909
201512,040021,21,2,867,246,254256684
201612,040036,21,4,15,8,2846155508
201512,040014,7,3,31,14,70835681
201512,040012,9,3,7308,532,4289980512
201612,040002,4,2,266,238,111853996
201612,040021,11,1,1203,497,119828220
201612,040036,22,3,6,5,33977182
201612,040044,21,3,13,9,146631382
201512,040021,22,1,1063,373,104277724
201512,040012,10,2,326,123,313419968
201612,5,20,2,2263,1282,1489082651
201612,040036,15,1,629,556,128825856
201612,040044,14,4,75,41,2924878203
201512,040014,6,4,38,13,746171539
201612,040044,8,5,1,1,41285755
201512,040072,14,2,2646,1529,2839177403
201612,040002,1,3,18,12,174820916
201612,040072,29,1,128,108,40722751
201612,040021,6,1,283,134,28569819
201512,040044,4,4,1,1,5514140
201612,5,22,1,9271,5884,3847791773
201512,040044,6,2,3,3,21735651
201512,040044,2,3,19,8,139190534
201612,040002,3,1,164,131,69062091
201612,5,16,4,27473,122,20489954652
201612,040014,1,3,33,18,90496064
201512,040012,19,4,49927,195,40302313049
201612,040021,4,3,61,3,15105736
201612,040002,2,2,1457,1174,1172705755
201612,040012,6,3,116,10,40595823
201612,040014,5,2,523,336,912072715
201612,5,15,5,2,2,5829121294
201512,040021,2,4,211,17,1656620976
201612,040036,999,1,5,2,6155317
201512,040021,5,1,1938,608,113922623
201512,040002,10,1,126,109,60385942
201512,040012,22,5,8,1,329197076
201612,5,14,2,21290,6995,19713495146
201612,5,14,5,15,3,507701793
201512,040012,3,1,1405,1088,405233010
201612,040014,32,3,20,10,42527515
201512,5,6,4,3694,31,4245139358
201512,040002,7,4,26,12,1251243560
201612,5,12,4,60,15,1877570990
201512,5,20,4,557,23,2155437999
201512,040072,21,4,13,10,76440649
201612,040012,22,1,5601,4053,1669638287
201612,040002,6,4,49,10,844656116
201612,040014,26,1,1443,1064,1019954007
201612,040002,9,1,3994,3262,4208605030
201612,040002,8,2,1215,986,868862021
201612,040021,23,1,773,359,126987494
201612,040021,22,2,291,140,179426961
201612,040002,9,4,1110,356,71344767904
201512,040014,28,2,651,399,914793299
201612,5,32,2,2194,849,1979360410
201512,5,19,5,8,4,1427105293
