cve_periodo,cve_institucion,cve_tipo_moneda,cve_destino_credito,cve_TEC,tasa,responsabilidad,plazo
201612,040002,0,22,2,8.7139,203398621,35.7158
201612,040012,0,25,3,8.3399,8891113,
201612,040014,0,22,4,8.4773,11883228624,8.4467
201612,040014,1,22,3,5.094,98993537,
201612,040012,0,27,1,12.7608,65542085906,27.6066
201512,040002,0,28,3,6.9592,215446169,4.5445
201512,040012,1,27,2,4.6692,1141737867,21.6194
201612,040036,1,22,4,6.8902,15075968878,65.9001
201512,040002,0,24,4,4.8057,1243545175,13.6354
201512,040012,1,0,1,2.58,5929241,6
201512,040021,0,25,5,6.8918,413911781,0
201512,040021,0,27,3,7.6082,2543068091,24.7408
201512,040021,1,27,2,4.4798,490297375,21.4685
201512,040036,0,27,1,12.9758,1440467100,50.9602
201612,040072,1,25,4,4.27,70314751,3
201612,040014,0,0,1,19.9727,126173692,
201512,040021,0,27,4,5.8301,66301570148,27.4431
201612,040021,1,27,5,4.5524,222542660,5
201512,040021,0,24,4,5.3419,17341809,43.5132
201512,040021,0,26,2,12,911321,114
201612,040021,0,0,4,8.017,6697450038,52.7593
201612,040072,0,26,4,8.8451,1303810928,58.4199
201612,040072,1,27,2,5.2237,603322623,28.8572
201612,040072,0,27,3,10.0059,6331644811,19.2481
201612,040072,0,25,5,9.2866,1020550922,17
201612,040036,0,27,5,7.303,33372600490,195.9672
201612,040036,1,27,4,4.9734,69360837767,64.0771
201512,040021,0,32,4,4.5946,3120315282,23.3819
201612,040014,0,22,3,9.3543,2584313284,9.1351
201512,040012,1,30,3,4.3861,3200455,29.4502
201612,040014,1,22,2,6.3881,174803883,
201512,040014,0,30,2,6.4224,7152155,22.933
201512,040012,0,30,4,6.4385,898368715,33.0979
201612,040012,0,24,3,12.41,9496,
201512,040014,1,27,4,3.3147,52353055233,46.8462
201512,040014,0,29,3,6.8772,78801049,23.8447
201512,040021,0,0,1,6.69,46352680,23
201612,040072,1,21,3,4.22,11173638,23
201612,040012,0,0,4,8.2775,4274263038,113.5478
201612,040044,0,30,4,8.11,15040534,
201512,040002,0,27,3,6.7778,7217908647,14.458
201512,040002,0,24,3,6.1265,125611688,22.2829
201512,040012,0,0,2,5.9277,43034233,87.8049
201512,040002,1,24,2,4.3684,68955983,11.1314
201512,040002,0,28,2,6.3898,110936000,8.5031
201512,040002,1,27,2,3.6854,688009250,23.5914
201512,040002,2,27,1,9.6999,129150,8.7191
201512,040044,1,27,1,4.6379,164506734,57
201512,040044,1,26,2,4.29,31525437,35
201512,040044,0,21,2,6.4271,569790702,33.249
201512,040044,0,25,4,6.8453,160381678,18.6219
201512,5,0,29,1,8.508,116953177,29.6438
201512,5,0,29,4,6.4874,431320977,35.5287
201512,5,2,27,1,9.9304,557018,25.0043
201512,5,0,30,3,7.5841,367801353,31.3168
201512,5,0,25,5,6.801,2439170060,2.7408
201512,040072,0,0,1,9.8,6170930,20
201512,040044,0,22,3,6.9666,401751889,34.5325
201512,040044,0,21,4,5.6793,9656858256,37.9009
201512,040044,1,22,2,4.4697,57664568,40.4517
201512,040044,0,21,1,6.7609,143996210,35.9264
201512,040002,0,24,2,7.465,346875292,14.8578
201512,040002,1,24,1,4,22682424,10
201512,040072,0,0,5,6.47,348881216,47
201512,040002,0,27,4,5.1283,86660111696,29.6969
201512,040044,0,0,3,5.31,48856358,36.9578
201512,040014,0,22,3,6.729,2742504132,6.1047
201512,040012,0,24,3,12.41,9496,
201512,040012,1,22,4,2.1589,219536098,87.5022
201512,040072,0,21,2,10.7818,524468161,35.3065
201512,040014,1,22,2,6.834,166153608,3.7461
201612,040012,1,30,2,2.4995,11045122,31.1388
201612,040014,1,28,2,2.4578,89825027,10.5198
201612,040014,0,29,2,8.1781,345419614,20.0184
201612,040012,0,30,3,8.6419,179648054,29.8275
201612,040014,0,27,4,8.0705,1.0196E+11,41.6103
201512,040012,0,27,1,10.3205,57234968467,27.7869
201512,040002,1,28,4,3.3191,1198077288,7.7721
201512,040002,0,30,3,7.4373,151523743,36.4725
201512,040002,1,27,5,2.9221,1174748442,52.8582
201512,040002,2,27,4,,39396483,10
201612,040002,1,24,3,4.2,31145000,22
201612,040002,0,27,1,11.3379,11915751106,22.7204
201512,040002,0,30,1,6.3874,23365620,37.0636
201512,040002,1,27,3,3.0904,803075092,15.628
201512,040002,2,27,2,9.9771,373484,20.1088
201512,040012,1,28,1,4.9258,73283600,2.0848
201512,040012,0,27,3,7.1804,10666720618,15.9
201512,040021,1,27,1,4.8386,77941290,21.4151
201512,040014,0,24,4,6.15,134174202,47
201512,040012,0,28,2,7.503,491091498,2.6819
201512,040021,0,27,2,13.0814,5611683063,45.5731
201612,040012,1,32,4,2.4651,973884724,1.2273
201612,040044,1,21,3,4.6585,54619495,28.9048
201612,040044,0,22,3,9.0264,562062679,40.9577
201612,040044,1,22,2,5.1312,79175809,33.5081
201612,040044,0,21,4,7.7909,9602550937,38.0733
201612,040036,0,27,4,8.967,41076808198,76.0767
201612,040036,1,27,3,4.8081,89507719,29.9796
201512,040072,0,22,3,8.3625,345345315,46.4817
201612,040014,0,22,2,9.8945,3315081470,2.7375
201612,040012,0,22,4,8.4727,3105884,12.7569
201612,040014,1,22,1,6.6455,120193997,
201612,040021,0,27,2,12.7763,6681009169,53.2353
201612,040021,1,27,1,5.6774,83941208,13.5417
201512,040044,0,27,5,6.5497,383314096,
201512,040044,1,27,4,1.9802,10132811584,51.2509
201512,040044,0,28,4,6.5009,719015740,
201512,040002,0,30,4,5.8078,1074996504,40.371
201612,040012,1,0,4,3.5853,12432957520,152.415
201612,040072,0,21,2,11.1583,441726306,32.5981
201612,040012,0,0,5,8.4085,371346245,92.0811
201512,040044,0,26,3,7.5209,29662084,28.5511
201612,040072,0,26,3,9.3993,6244433,42.7665
201612,040072,1,27,1,5.601,80003521,23.0266
201612,040072,0,25,4,8.7131,6271780505,37.7854
201612,040072,0,27,5,7.8745,4444311341,66.1836
201612,040072,0,30,2,10.61,2915717,6
201612,040072,1,27,4,4.3529,28973116712,72.2112
201612,040002,1,24,1,4,27144751,14
201612,040002,0,24,2,9.2206,333536072,23.4104
201512,040021,0,22,2,9.1484,146439892,20.7856
201512,040012,0,24,1,12.0236,579941,1.0903
201612,040012,0,28,1,9.7256,265191165,2.3312
201612,040021,1,22,1,5.74,251825,7
201612,040014,1,22,4,3.5983,744677652,
201612,040012,0,27,2,11.0067,27133233340,24.822
201512,040014,2,27,1,10,427868,29.92
201512,040012,0,28,4,6.2133,10169555600,3.019
201512,040014,0,29,1,7.5267,92312719,30.3336
201512,040012,1,30,1,5.4799,3646804,21.3703
201612,040021,0,21,3,13.57,12999318,
201612,040014,0,22,5,7.61,38496918,
201512,040014,0,32,1,7.3074,14151797,21.8461
201512,040014,1,29,3,4.75,5944853,
201512,040012,1,30,4,5.057,245052566,45.1191
201512,040036,1,27,5,5.0202,8134999578,133.7446
201612,040014,1,27,1,6.2186,842292089,8.8477
201612,040014,0,28,1,9.5118,657477710,11.8299
201612,040012,0,28,3,9.6409,501107130,2.8654
201512,040012,0,25,2,9.0641,17611112,
201612,040002,0,27,3,8.6901,7474945752,15.7111
201612,040002,0,28,2,8.5956,60562684,18.1279
201612,040002,0,29,4,7.6039,27176446,7
201512,040044,1,32,4,5.9095,55795920,18
201612,040002,0,30,3,7.8566,134133570,32.9248
201612,040002,1,28,4,3.841,2323673870,22.3227
201612,040014,0,32,4,9.4147,5636254,16.2607
201612,040002,1,27,2,3.8694,894561493,20.2863
201612,040002,1,27,5,3.49,1077562167,48
201612,040002,2,27,4,,40540067,
201612,040021,0,25,4,8.3983,362944657,18.2186
201612,040021,0,27,5,9.8398,216088546,21.2769
201512,040002,1,30,3,2.8342,3781677,7.9908
201612,040014,0,0,3,12.7085,19582593,
201512,040012,0,22,2,7.4212,13199174,38.909
201512,040021,1,0,5,2.35,264211014,12
201612,040021,1,27,4,3.841,35069136532,18.5662
201612,040072,0,22,1,10.7003,846259697,53.7836
201612,040072,1,21,1,5.72,1643822,28
201612,040021,1,26,5,4.06,556112879,7
201512,040044,1,21,2,3.919,103827991,28.5909
201512,040044,0,22,2,6.8147,475219694,42.2951
201512,040044,1,22,1,4.0706,58991789,44.9153
201512,040044,0,21,3,7.1501,230825431,29.9049
201512,040012,0,22,3,7.8703,18336521,50.8805
201612,040014,1,0,4,3.506,1717288859,72.6824
201612,040044,0,21,3,9.3839,260777254,40.8622
201612,040044,1,21,2,4.1089,86456260,18.3263
201612,040044,0,22,2,9.08,792736818,38.5228
201612,040044,1,22,1,4.2801,91874845,36.5224
201612,040002,1,30,4,3.3538,398363298,30.0215
201512,040072,0,30,4,6.07,42395802,1
201512,040072,0,32,2,9.4949,44769130,37.6078
201512,040044,1,22,3,4.6508,22224700,34.5737
201512,040044,0,22,4,5.5024,10569034003,46.2642
201612,5,2,21,2,,192387,8
201612,5,0,23,5,8.52,526141862,180.2821
201612,5,1,23,4,4.1283,288574550,5
201612,5,0,23,2,10.11,7449645,33
201612,5,1,21,3,4.7655,90661963,29.0787
201612,5,1,22,2,5.9812,877851922,43.5346
201612,5,0,25,3,10.0667,1176984626,21.4538
201612,5,0,26,2,9.3122,195752492,48.157
201612,5,0,27,1,12.4837,1.57587E+11,28.5643
201512,5,0,0,1,9.8444,440510896,81.2572
201612,5,0,24,4,9.4781,4491666735,94.703
201612,5,0,24,1,10.1595,71126814,21.9416
201612,5,0,22,3,9.4014,5788254885,42.622
201612,5,1,24,3,4.2,31145000,22
201612,5,0,21,4,8.768,34484592102,62.6664
201512,040002,0,28,4,6.3006,5380400768,8.601
201512,040002,1,29,2,4.2,3423203,3
201512,040002,0,29,3,4.3,15046610,2
201612,040021,0,24,3,7.44,1448601,2
201612,040044,0,29,4,8.6067,17831928,
201612,040044,1,28,4,5.9816,19024293,
201512,040014,0,32,4,9.7032,14263847,21.6236
201612,040044,0,32,1,9.5,10002857,18.7365
201612,040044,0,26,4,8.1149,1495149734,43.2023
201512,040002,0,22,1,7.3236,57448191,43.8764
201612,040044,1,25,4,3.8,437296797,39
201512,040002,0,30,2,7.5255,184388117,35.6099
201512,040002,1,27,4,1.8918,59884351148,25.5423
201512,040002,0,27,5,5.45,157222973,63
201512,040002,1,24,3,3.4383,103129617,15.7801
201512,040002,0,27,1,10.6205,9259244165,22.7303
201612,040002,0,22,1,8.5409,86308211,32.5823
201612,040036,0,22,5,9.08,785494093,200
201612,040072,0,28,4,8.1849,10822364,24.4588
201512,040036,0,27,3,10.1288,865939550,40.5603
201512,040036,1,27,2,5.9373,258247370,96.7706
201612,040044,0,21,1,8.8093,204398816,31.5224
201512,040012,0,32,3,7.17,16923035,24.9775
