cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201611,40036,2,3,2569
201611,40072,1,4,23493
201611,40132,4,3,470
201611,40147,1,0,740913308
201611,40012,3,2,585867879
201611,40136,1,2,9744391
201611,40042,5,1,1183073848
201611,40058,5,0,321821166
201611,40021,1,2,395528059
201611,40014,3,1,10704933805
201611,40112,2,3,710
201611,40021,4,1,1.18733E+11
201611,40106,2,3,4
201611,40138,3,3,1233
201611,40112,2,4,68
201611,40014,4,4,1673
201611,40128,3,3,107
201611,40150,1,2,41550862
201611,40137,1,4,32
201611,40036,4,0,1.39498E+11
201611,40154,1,2,157555730
201611,40132,3,1,434500842
201611,40133,2,2,16896748
201611,40059,2,4,93
201611,40132,1,1,768573347
201611,40014,3,0,11084924911
201611,40042,3,4,70
201611,40156,1,3,19
201611,40152,4,1,3577835448
201611,40110,2,0,0
201611,40021,2,3,21090
201611,40113,2,0,4047327201
201611,5,2,0,1.995E+11
201611,40143,1,0,193928505
201611,40037,5,1,4146129018
201611,40072,5,2,1677770905
201611,40133,4,0,5933612141
201611,40044,3,0,3725446879
201611,40044,4,3,1135
201611,40036,1,3,10226
201611,40102,3,4,28
201611,40014,3,3,3320
201611,40132,5,0,152425709
201611,40128,1,4,32
201611,40042,4,1,9859870812
201611,40108,4,3,38
201611,40127,5,0,8261745037
201611,40021,1,3,39103
201611,40137,3,0,205284597
201611,40002,3,4,941
201611,40137,4,0,1703642337
201611,40059,2,1,811134437
201611,40136,3,2,44002942
201611,5,5,2,2128225123
201611,40108,2,1,265738116
201611,40044,2,1,4168341128
201611,40132,3,3,124
201611,40128,1,1,196353948
201611,40042,5,3,9
201611,40145,5,4,1
201611,40113,2,1,3844430984
201611,40072,1,2,767291737
201611,40133,1,4,192
201611,40108,3,4,6
201611,40037,2,2,46427241
201611,40062,3,3,561
201611,40136,2,4,95
201611,40030,5,4,5
201611,40036,4,1,1.36729E+11
201611,40021,2,0,7046133746
201611,40127,2,0,21944270
201611,40131,2,4,299
201611,40002,5,3,4
201611,40037,1,2,2236088
201611,40030,1,0,9981666166
201611,40136,4,3,129
201611,40042,3,0,789881764
201611,40059,4,0,10759430030
201611,40060,2,3,331
201611,40145,2,4,121
201611,40044,5,4,4
201611,40012,2,0,29130853167
201611,40002,5,1,1068923160
201611,40112,1,4,40
201611,40150,4,2,3382303
201611,40058,4,4,680
201611,40143,3,2,9974828
201611,40059,1,3,40
201611,40058,4,3,1505
201611,40059,3,1,621260195
201611,40002,2,4,36598
201611,40014,4,3,9280
201611,40037,1,4,12
201611,40143,4,0,3122746423
201611,40060,2,4,142
201611,40150,3,0,429948121
201611,40112,3,1,291622857
201611,40110,4,4,34
201611,40131,1,2,35069442
201611,40136,4,2,56659628
201611,40132,2,4,243
201611,40145,4,2,83334981
201611,40145,5,0,41036244
201611,40127,5,3,9
201611,40012,1,3,227534
201611,40136,4,0,4785097249
201611,40058,2,4,5146
201611,40132,2,3,603
201611,40110,4,3,42
201611,40143,2,4,62
201611,40058,3,1,4391536961
201611,40106,2,0,54013862
201611,40062,3,0,1134248017
201611,40143,2,1,374710259
201611,40110,4,1,5804845110
201611,40113,4,1,12040428269
201611,40128,4,1,1742113105
201611,40150,3,1,401293605
201611,40002,2,2,410278981
201611,40108,4,1,7337616108
201611,40132,4,0,17505837012
